Experiment,Total Samples,Valid Predictions,Accuracy,Macro-F1,Weighted-F1,Macro-Precision,Macro-Recall,Positive_Precision,Positive_Recall,Positive_F1,Negative_Precision,Negative_Recall,Negative_F1,Neutral_Precision,Neutral_Recall,Neutral_F1
E4: Llama-3.1:8b (Few-Shot),210,210,0.9571428571428572,0.9570270115718689,0.9570270115718689,0.9588941696493184,0.9571428571428572,0.9846153846153847,0.9142857142857143,0.9481481481481482,0.9210526315789473,1.0,0.958904109589041,0.9710144927536232,0.9571428571428572,0.9640287769784173
E5: Qwen3:8b (Few-Shot),210,210,0.9523809523809523,0.9530484830748219,0.9530484830748218,0.9583333333333334,0.9523809523809524,1.0,0.9142857142857143,0.9552238805970149,1.0,0.9428571428571428,0.9705882352941176,0.875,1.0,0.9333333333333333
E6: Deepseek-r1:8b (Few-Shot),210,210,0.9380952380952381,0.9382295986918671,0.9382295986918672,0.9384286394696683,0.938095238095238,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9855072463768116,0.9714285714285714,0.9784172661870504,0.9154929577464789,0.9285714285714286,0.9219858156028369
