Experiment,Total Samples,Valid Predictions,Accuracy,Macro-F1,Weighted-F1,Macro-Precision,Macro-Recall,MCC,Positive_Precision,Positive_Recall,Positive_F1,Negative_Precision,Negative_Recall,Negative_F1,Neutral_Precision,Neutral_Recall,Neutral_F1
R7: Llama3.1:8b (CoT),210,210,0.7571428571428571,0.7295617804486662,0.7295617804486662,0.8318318318318317,0.7571428571428571,0.6802288367513964,0.8648648648648649,0.9142857142857143,0.8888888888888888,0.6306306306306306,1.0,0.7734806629834254,1.0,0.35714285714285715,0.5263157894736842
R8: Qwen3:8b (CoT),210,210,0.9380952380952381,0.9380183387624923,0.9380183387624922,0.9391113062140279,0.9380952380952382,0.9077296748432895,0.9066666666666666,0.9714285714285714,0.9379310344827586,0.9852941176470589,0.9571428571428572,0.9710144927536232,0.9253731343283582,0.8857142857142857,0.9051094890510949
R9: DeepSeek-R1:8b (CoT),210,210,0.919047619047619,0.9186568986568986,0.9186568986568987,0.924404761904762,0.919047619047619,0.8815751003370311,0.8375,0.9571428571428572,0.8933333333333333,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.95,0.8142857142857143,0.8769230769230769
