Experiment,Total Samples,Valid Predictions,Accuracy,Macro-F1,Weighted-F1,Macro-Precision,Macro-Recall,MCC,Positive_Precision,Positive_Recall,Positive_F1,Negative_Precision,Negative_Recall,Negative_F1,Neutral_Precision,Neutral_Recall,Neutral_F1
I7: Llama3.1:8b (COT),210,208,0.8461538461538461,0.8391213437585977,0.840086561114558,0.8748946747556454,0.8438375350140056,0.7868393151354243,0.9420289855072463,0.9285714285714286,0.935251798561151,0.7291666666666666,1.0,0.8433734939759037,0.9534883720930233,0.6029411764705882,0.7387387387387387
I8: Qwen3:8b (COT),210,210,0.9,0.9019727171922948,0.9019727171922948,0.9160919540229885,0.9,0.8564032688747163,0.9666666666666667,0.8285714285714286,0.8923076923076924,1.0,0.9,0.9473684210526315,0.7816091954022989,0.9714285714285714,0.8662420382165605
I9: DeepSeek-R1:8b (COT),210,209,0.9090909090909091,0.9082423649554977,0.9084557907991299,0.9097250167672702,0.908695652173913,0.8645263675540863,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9577464788732394,0.9714285714285714,0.9645390070921985,0.9047619047619048,0.8260869565217391,0.8636363636363636
