Experiment,Total Samples,Valid Predictions,Accuracy,Macro-F1,Weighted-F1,Macro-Precision,Macro-Recall,MCC,Positive_Precision,Positive_Recall,Positive_F1,Negative_Precision,Negative_Recall,Negative_F1,Neutral_Precision,Neutral_Recall,Neutral_F1
R10: Llama3.1:8b (ToT),210,210,0.6047619047619047,0.5633163133163133,0.5633163133163133,0.6953067376113307,0.6047619047619048,0.447963356285408,0.5616438356164384,0.5857142857142857,0.5734265734265734,0.5798319327731093,0.9857142857142858,0.7301587301587301,0.9444444444444444,0.24285714285714285,0.38636363636363635
R11: Qwen3:8b (ToT),210,210,0.919047619047619,0.9191379957401802,0.9191379957401802,0.9228172671210646,0.919047619047619,0.8804000078273296,0.8607594936708861,0.9714285714285714,0.912751677852349,1.0,0.9428571428571428,0.9705882352941176,0.9076923076923077,0.8428571428571429,0.8740740740740741
R12: DeepSeek-R1:8b (ToT),210,210,0.919047619047619,0.9178154306201369,0.9178154306201368,0.9250385240348006,0.919047619047619,0.8825730930859229,0.8518518518518519,0.9857142857142858,0.9139072847682119,0.9577464788732394,0.9714285714285714,0.9645390070921985,0.9655172413793104,0.8,0.875
